MBC,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhóm hàng,Chủng loại,Mix,2012 - 01,2012 - 02,2012 - 03,2012 - 04,2012 - 05,2012 - 06,2012 - 07,2012 - 08,2012 - 09,2012 - 10,2012 - 11,2012 - 12,2013 - 01,2013 - 02,2013 - 03,2013 - 04,2013 - 05,2013 - 06,2013 - 07,2013 - 08,2013 - 09,2013 - 10,2013 - 11,2013 - 12,2014 - 01,2014 - 02,2014 - 03,2014 - 04,2014 - 05,2014 - 06,2014 - 07,2014 - 08,2014 - 09,2014 - 010,2014 - 11,2014 - 12,2015 - 01,2015 - 02,2015 - 03,2015 - 04,2015 - 05,2015 - 06,2015 - 07,2015 - 08,2015 - 09,2015 - 010,2015 - 11,2015 - 12,2016 - 01,2016 - 02,2016 - 03,2016 - 04,2016 - 05,2016 - 06,2016 - 07,2016 - 08,2016 - 09,2016 - 010,2016 - 11,2016 - 12,2017 - 01,2017 - 02,2017 - 03,2017 - 04,2017 - 05,2017 - 06,2017 - 07,2017 - 08,2017 - 09,2017 - 010,2017 - 11,2017 - 12,2018 - 01,2018 - 02,2018 - 03,2018 - 04,2018 - 05,2018 - 06,2018 - 07,2018 - 08,2018 - 09,2018 - 10,2018 - 11,2018 - 12,2019 - 01,2019 - 02,2019 - 03,2019 - 04,2019 - 05,2019 - 06,2019 - 07,2019 - 08,2019 - 09,2019 - 010,2019 - 11,2019 - 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alpha,Beta,Gamma,Base,Trend,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Season8,Season9,Season10,Season11,Season12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz,Bông,Cz-Bông, 72 , 127 , 123 , 52 , 37 , 41 , 45 , 51 , 47 , 60 , 45 , 55 , 57 , 95 , 107 , 46 , 42 , 45 , 66 , 86 , 73 , 101 , 69 , 74 , 131 , 199 , 178 , 87 , 85 , 101 , 129 , 107 , 98 , 162 , 122 , 103 , 108 ,196, 252 , 130 , 98 ,108,134,110,118,229,156,181, 148 , 372 , 314 , 167 , 142 , 120 , 186 , 181 , 254 , 406 , 230 , 258 , 337 , 463 , 338 , 249 , 196 , 200 , 278 , 279 , 262 , 460 , 281 , 306 , 314 , 735 , 530 , 280 , 205 , 228 , 252 , 277 , 441 , 595 , 348 , 400 , 751 , 808 , 693 , 392 , 287 , 319 , 353 , 388 , 490 , 785 , 487 , 550 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 268 ,0%,0.905554691,1.559047767,1.217364245,0.776723199,0.631087599,0.597479384,0.866345107,0.858876614,0.963435506,1.616928583,0.954099891,1.053057414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz,Dây cổ,Cz-Dây cổ, 2 , 7 , 4 , 2 , 1 , 1 , 2 , 3 , 2 , 3 , 2 , 2 , 3 , 5 , 3 , 3 , 1 , 1 , 1 , 4 , 5 , 2 , 7 , 7 , 8 , 11 , 12 , 10 , 4 , 3 , 6 , 9 , 5 , 14 , 17 , 15 , 11 ,24, 17 , 5 , 5 ,7,16,15,12,29,19,23, 20 , 40 , 38 , 16 , 12 , 20 , 18 , 20 , 18 , 50 , 21 , 38 , 31 , 54 , 27 , 20 , 12 , 17 , 26 , 33 , 29 , 51 , 29 , 34 , 29 , 68 , 54 , 22 , 33 , 29 , 30 , 46 , 30 , 72 , 37 , 48 , 69 , 75 , 71 , 31 , 46 , 41 , 42 , 64 , 50 , 91 , 52 , 69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 28 ,0%,0.908011869,1.673590504,1.15727003,0.640949555,0.427299703,0.658753709,0.783382789,0.943620178,0.836795252,1.798219585,0.890207715,1.28189911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz,Khác,Cz-Khác,,,, 1 ,,,, 1 ,,, 3 ,, 1 ,,, 1 , 1 ,,,,, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   ,, -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 0 ,0%,0,0,0,2.5,0,2.5,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz,Lắc,Cz-Lắc, 9 , 11 , 13 , 7 , 7 , 3 , 7 , 9 , 5 , 10 , 4 , 10 , 11 , 7 , 17 , 7 , 10 , 13 , 11 , 5 , 16 , 27 , 16 , 8 , 14 , 34 , 21 , 17 , 14 , 15 , 19 , 14 , 16 , 30 , 17 , 20 , 21 ,56, 63 , 35 , 19 ,18,15,20,31,43,28,32, 47 , 80 , 87 , 44 , 47 , 38 , 38 , 50 , 59 , 106 , 60 , 58 , 61 , 103 , 107 , 83 , 77 , 63 , 71 , 77 , 89 , 131 , 90 , 101 , 90 , 199 , 182 , 100 , 74 , 81 , 79 , 82 , 124 , 196 , 106 , 124 , 215 , 219 , 238 , 140 , 104 , 113 , 111 , 115 , 158 , 199 , 148 , 161 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 74 ,0%,0.73344652,1.24278438,1.317487267,0.862478778,0.842105263,0.685908319,0.740237691,0.862478778,1.005093379,1.60950764,1.018675722,1.079796265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz,Mề đay,Cz-Mề đay, 70 , 157 , 144 , 50 , 45 , 34 , 36 , 33 , 43 , 58 , 53 , 60 , 56 , 70 , 116 , 51 , 38 , 52 , 63 , 71 , 68 , 118 , 82 , 86 , 122 , 223 , 225 , 96 , 87 , 117 , 132 , 136 , 120 , 196 , 140 , 118 , 130 ,306, 332 , 154 , 141 ,108,184,164,143,277,180,223, 188 , 452 , 380 , 215 , 169 , 202 , 209 , 221 , 333 , 543 , 319 , 343 , 347 , 591 , 441 , 289 , 214 , 205 , 319 , 321 , 339 , 581 , 336 , 363 , 302 , 847 , 701 , 374 , 275 , 274 , 297 , 360 , 451 , 758 , 396 , 508 , 722 , 931 , 917 , 524 , 385 , 384 , 416 , 504 , 603 , 834 , 557 , 643 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 330 ,0%,0.810606061,1.58030303,1.243939394,0.763636364,0.58030303,0.616666667,0.8,0.821212121,1.018181818,1.703030303,0.992424242,1.06969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz,Nhẫn,Cz-Nhẫn, 55 , 154 , 90 , 56 , 45 , 29 , 29 , 38 , 42 , 38 , 43 , 44 , 47 , 76 , 64 , 23 , 38 , 47 , 37 , 51 , 78 , 94 , 64 , 69 , 69 , 187 , 142 , 56 , 63 , 68 , 85 , 70 , 88 , 127 , 95 , 103 , 98 ,197, 186 , 96 , 78 ,75,108,88,90,206,118,148, 144 , 427 , 268 , 156 , 115 , 105 , 154 , 160 , 194 , 318 , 206 , 245 , 262 , 570 , 303 , 200 , 175 , 171 , 194 , 206 , 210 , 357 , 236 , 294 , 278 , 841 , 535 , 297 , 190 , 189 , 202 , 240 , 296 , 438 , 280 , 353 , 665 , 925 , 700 , 416 , 266 , 265 , 283 , 336 , 398 , 531 , 400 , 498 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 236 ,0%,0.859259259,2.11005291,1.208465608,0.753439153,0.613756614,0.584126984,0.736507937,0.774603175,0.855026455,1.428571429,0.935449735,1.140740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz,Vòng,Cz-Vòng, 10 , 16 , 28 , 10 , 12 , 2 , 6 , 3 , 7 , 13 , 12 , 11 , 10 , 14 , 20 , 9 , 5 , 3 , 19 , 13 , 23 , 20 , 10 , 17 , 28 , 47 , 28 , 19 , 12 , 22 , 22 , 20 , 19 , 40 , 20 , 33 , 44 ,54, 61 , 28 , 24 ,25,25,27,25,40,31,40, 37 , 57 , 61 , 36 , 21 , 35 , 27 , 40 , 49 , 84 , 50 , 62 , 47 , 102 , 68 , 55 , 30 , 44 , 46 , 45 , 43 , 85 , 64 , 78 , 45 , 147 , 126 , 66 , 49 , 38 , 53 , 47 , 65 , 143 , 69 , 97 , 108 , 162 , 165 , 92 , 69 , 53 , 74 , 66 , 85 , 130 , 98 , 116 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 53 ,0%,0.796208531,1.507109005,1.222748815,0.862559242,0.483412322,0.748815166,0.691943128,0.805687204,0.872037915,1.601895735,1.08056872,1.327014218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cz 0.75 Total,Total,Cz 0.75 Total-Total, 218 , 472 , 402 , 178 , 147 , 110 , 125 , 138 , 146 , 182 , 162 , 182 , 185 , 267 , 327 , 140 , 135 , 161 , 197 , 230 , 263 , 364 , 248 , 261 , 372 , 701 , 606 , 285 , 265 , 326 , 393 , 356 , 346 , 569 , 411 , 392 , 412 , 833 , 911 , 448 , 365 , 341 , 482 , 424 , 419 , 824 , 532 , 647 , 584 ," 1,428 "," 1,148 ", 634 , 506 , 520 , 632 , 672 , 907 ," 1,507 ", 886 ," 1,006 "," 1,085 "," 1,883 "," 1,284 ", 897 , 704 , 701 , 934 , 961 , 972 ," 1,665 "," 1,036 "," 1,176 "," 1,058 "," 2,837 "," 2,128 "," 1,139 ", 826 , 839 , 913 ," 1,052 "," 1,407 "," 2,202 "," 1,236 "," 1,530 "," 2,530 "," 3,120 "," 2,783 "," 1,595 "," 1,156 "," 1,175 "," 1,278 "," 1,473 "," 1,785 "," 2,570 "," 1,743 "," 2,037 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 989 ,0%,0.844066082,1.674477411,1.229939312,0.774275118,0.611935266,0.617498314,0.791975725,0.825859744,0.950269724,1.604180715,0.972016183,1.103506406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecz,Bông,Ecz-Bông, 57 , 70 , 67 , 38 , 31 , 20 , 35 , 32 , 34 , 101 , 59 , 37 , 51 , 60 , 81 , 48 , 36 , 34 , 41 , 66 , 46 , 70 , 51 , 46 , 61 , 64 , 87 , 51 , 49 , 54 , 59 , 36 , 59 , 156 , 116 , 143 , 109 ,210, 214 , 123 , 144 ,127,141,151,142,256,135,203, 219 , 327 , 309 , 195 , 150 , 147 , 182 , 194 , 240 , 341 , 207 , 255 , 331 , 480 , 384 , 254 , 187 , 193 , 221 , 221 , 233 , 416 , 285 , 286 , 285 , 540 , 550 , 265 , 196 , 241 , 263 , 273 , 369 , 487 , 334 , 344 , 342 , 648 , 582 , 318 , 235 , 289 , 302 , 328 , 340 , 575 , 401 , 415 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 261 ,0%,1.054818603,1.547706569,1.32907144,0.861115551,0.646316126,0.652069682,0.772894358,0.795908582,0.907143999,1.451813968,0.943583187,1.037557935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
