HCM,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,,Growth 2013 vs 2012,,,,,,,,,,,,,,Growth 2014 vs 2013,,,,,,,,,,,,,,Growth 2015 vs 2014,,,,,,,,,,,,,,Growth 2016 vs 2015,,,,,,,,,,,,,2016,,,Growth 2017 vs 2016,,,,,,,,,,,,,2017,,,Growth 2018 vs 2017,,,,,,,,,,,,,2018,,,Growth 2019 vs 2018,,,,,,,,,,,,,2019,,,,,,25,26,27,28,29,30,31,32,33,34,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nh—m hˆng,Ch_ng lo_i,Mix,2012 - 01,2012 - 02,2012 - 03,2012 - 04,2012 - 05,2012 - 06,2012 - 07,2012 - 08,2012 - 09,2012 - 10,2012 - 11,2012 - 12,2013 - 01,2013 - 02,2013 - 03,2013 - 04,2013 - 05,2013 - 06,2013 - 07,2013 - 08,2013 - 09,2013 - 10,2013 - 11,2013 - 12,2014 - 01,2014 - 02,2014 - 03,2014 - 04,2014 - 05,2014 - 06,2014 - 07,2014 - 08,2014 - 09,2014 - 010,2014 - 11,2014 - 12,2015 - 01,2015 - 02,2015 - 03,2015 - 04,2015 - 05,2015 - 06,2015 - 07,2015 - 08,2015 - 09,2015 - 010,2015 - 11,2015 - 12,2016 - 01,2016 - 02,2016 - 03,2016 - 04,2016 - 05,2016 - 06,2016 - 07,2016 - 08,2016 - 09,2016 - 010,2016 - 11,2016 - 12,2017 - 01,2017 - 02,2017 - 03,2017 - 04,2017 - 05,2017 - 06,2017 - 07,2017 - 08,2017 - 09,2017 - 010,2017 - 11,2017 - 12,2018 - 01,2018 - 02,2018 - 03,2018 - 04,2018 - 05,2018 - 06,2018 - 07,2018 - 08,2018 - 09,2018 - 010,2018 - 11,2018 - 12,2019 - 01,2019 - 02,2019 - 03,2019 - 04,2019 - 05,2019 - 06,2019 - 07,2019 - 08,2019 - 09,2019 - 010,2019 - 11,2019 - 12,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,1st haft,2nd haft,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,1st haft,2nd haft,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,1st haft,2nd haft,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,1st haft,2nd haft,,,,, 2018-01 , 2018-02 , 2018-03 , 2018-04 , 2018-05 , 2018-06 , 2018-07 , 2018-08 , 2018-09 , 2018-10 , 2018-11 , 2018-12 ,,,,,,,,,,,,,,,Alpha,Beta,Gamma,Base,Trend,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Season8,Season9,Season10,Season11,Season12
Cz,B™ng,Cz-B™ng, 489 , 682 , 645 , 353 , 296 , 314 , 398 , 353 , 320 , 431 , 435 , 471 , 573 , 537 , 592 , 396 , 376 , 367 , 438 , 367 , 387 , 494 , 504 , 621 , 881 ," 1,045 ", 928 , 629 , 614 , 498 , 567 , 641 , 612 , 749 , 635 , 711 , 706 ,1195," 1,017 ", 677 , 574 ,565,683,580,653,994,803,929," 1,005 "," 1,442 "," 1,128 ", 750 , 653 , 599 , 763 , 625 , 777 ," 1,163 ", 945 ," 1,098 "," 1,380 "," 1,843 "," 1,225 "," 1,030 ", 901 , 879 , 816 , 803 , 804 ," 1,235 "," 1,007 "," 1,300 "," 1,275 "," 2,531 "," 1,594 "," 1,120 "," 1,033 ", 870 ," 1,045 ", 969 ," 1,041 "," 1,460 "," 1,186 "," 1,576 "," 1,530 "," 2,853 "," 1,814 "," 1,302 "," 1,188 "," 1,023 "," 1,258 "," 1,171 "," 1,249 "," 1,771 "," 1,437 "," 1,897 ",,17%,-21%,-8%,12%,27%,17%,10%,4%,21%,15%,16%,32%,9%,,54%,95%,57%,59%,63%,36%,29%,75%,58%,52%,26%,14%,51%,,-20%,14%,10%,8%,-7%,13%,20%,-10%,7%,33%,26%,31%,10%,,42%,21%,11%,11%,14%,6%,12%,8%,19%,17%,18%,18%,17%,51%,49%,,37%,28%,9%,37%,38%,47%,7%,28%,3%,6%,7%,18%,21%,55%,45%,,-8%,37%,30%,9%,15%,-1%,28%,21%,29%,18%,18%,21%,19%,54%,46%,,20%,13%,14%,16%,15%,18%,20%,21%,20%,21%,21%,20%,-100%,53%,47%,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,0.3,0.1,0.1," 1,007 ",0%,1.184063547,1.63087998,1.168176741,0.883703612,0.771503041,0.733771875,0.783914608,0.70894874,0.784907534,1.190517562,0.969095197,1.190517562
Cz,D‰y c_,Cz-D‰y c_, 33 , 87 , 63 , 34 , 37 , 26 , 37 , 47 , 57 , 59 , 70 , 65 , 76 , 41 , 60 , 43 , 40 , 36 , 51 , 30 , 46 , 77 , 47 , 61 , 94 , 104 , 100 , 92 , 75 , 60 , 80 , 74 , 72 , 79 , 82 , 100 , 98 ,125, 104 , 77 , 55 ,61,82,58,59,119,92,81, 95 , 142 , 125 , 84 , 62 , 69 , 81 , 55 , 90 , 155 , 117 , 144 , 164 , 162 , 131 , 110 , 116 , 116 , 83 , 117 , 116 , 218 , 162 , 188 , 159 , 247 , 219 , 148 , 132 , 124 , 134 , 137 , 163 , 217 , 211 , 279 , 229 , 303 , 260 , 188 , 164 , 164 , 178 , 174 , 199 , 322 , 270 , 307 ,,130%,-53%,-5%,26%,8%,38%,38%,-36%,-19%,31%,-33%,-6%,-1%,,24%,154%,67%,114%,88%,67%,57%,147%,57%,3%,74%,64%,66%,,4%,20%,4%,-16%,-27%,2%,2%,-22%,-18%,51%,12%,-19%,0%,,-3%,14%,20%,9%,13%,13%,-1%,-5%,53%,30%,27%,78%,21%,47%,53%,,73%,14%,5%,31%,87%,68%,2%,113%,29%,41%,38%,31%,38%,47%,53%,,-3%,52%,67%,35%,14%,7%,61%,17%,41%,0%,30%,48%,29%,47%,53%,,44%,23%,19%,27%,24%,32%,32%,27%,22%,48%,28%,10%,-100%,47%,53%,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,0.3,0.1,0.1, 121 ,0%,1.070985527,1.257064094,1.058580289,0.802205376,0.736044108,0.764989662,0.678152998,0.711233632,0.851826327,1.542384562,1.153687112,1.372846313
Cz,Kh‡c,Cz-Kh‡c, 39 , 3 , 6 , 12 , 3 ,,,,,, 1 , 1 ,,, 1 , 1 ,,,,,, 1 ,,,,,,,,,,, 1 , 2 ,,, -   ,0, -   , -   , -   ,0,0,0,0,2,0,0,,,, -   , -   , -   , -   , 1 ,, 1 , 1 , -   , -   , -   , -   , 1 , 1 , 2 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-100%,-100%,-83%,-92%,-100%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-100%,-100%,-95%,,#DIV/0!,#DIV/0!,-100%,-100%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100%,#DIV/0!,#DIV/0!,0%,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-100%,0%,#DIV/0!,#DIV/0!,-33%,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-50%,#DIV/0!,#DIV/0!,50%,0%,100%,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-100%,#DIV/0!,-100%,-100%,#DIV/0!,100%,67%,33%,,#DIV/0!,#DIV/0!,#DIV/0!,-100%,0%,-50%,-100%,#DIV/0!,-100%,#DIV/0!,#DIV/0!,#DIV/0!,-67%,100%,0%,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-100%,-100%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.1, 0 ,0%,0,0,0,1.111111111,1.111111111,2.222222222,1.111111111,1.111111111,2.222222222,1.111111111,1.111111111,0
Cz,L_c,Cz-L_c, 119 , 136 , 112 , 86 , 71 , 60 , 83 , 88 , 54 , 103 , 104 , 100 , 126 , 96 , 109 , 81 , 81 , 78 , 104 , 72 , 90 , 140 , 101 , 131 , 193 , 189 , 151 , 114 , 101 , 90 , 109 , 130 , 124 , 148 , 157 , 192 , 159 ,248, 241 , 153 , 131 ,107,138,116,134,178,166,200, 215 , 340 , 257 , 191 , 182 , 168 , 172 , 171 , 210 , 350 , 250 , 277 , 344 , 383 , 302 , 234 , 235 , 227 , 188 , 211 , 239 , 348 , 283 , 391 , 356 , 586 , 464 , 299 , 290 , 260 , 312 , 266 , 279 , 417 , 372 , 468 , 443 , 654 , 559 , 378 , 351 , 310 , 369 , 337 , 375 , 543 , 476 , 596 ,,6%,-29%,-3%,-6%,14%,30%,25%,-18%,67%,36%,-3%,31%,8%,,53%,97%,39%,41%,25%,15%,5%,81%,38%,6%,55%,47%,40%,,-18%,31%,60%,34%,30%,19%,27%,-11%,8%,20%,6%,4%,16%,,35%,37%,7%,25%,39%,57%,25%,47%,57%,97%,51%,39%,41%,49%,51%,,60%,13%,18%,23%,29%,35%,9%,23%,14%,-1%,13%,41%,22%,51%,49%,,3%,53%,54%,28%,23%,15%,66%,26%,17%,20%,31%,20%,29%,52%,48%,,24%,12%,20%,26%,21%,19%,18%,27%,34%,30%,28%,27%,-100%,50%,50%,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,0.3,0.1,0.1, 257 ,0%,1.087548638,1.406614786,1.087548638,0.826848249,0.811284047,0.76848249,0.700389105,0.743190661,0.873540856,1.357976654,1.036964981,1.299610895
Cz,M_ _ay,Cz-M_ _ay, 235 , 466 , 371 , 202 , 167 , 167 , 205 , 176 , 133 , 201 , 217 , 242 , 285 , 290 , 300 , 189 , 181 , 204 , 233 , 223 , 197 , 284 , 291 , 413 , 584 , 680 , 578 , 373 , 321 , 347 , 371 , 407 , 383 , 535 , 416 , 495 , 484 ,841, 726 , 443 , 404 ,381,462,437,411,683,526,673, 815 ," 1,064 ", 890 , 528 , 454 , 469 , 571 , 469 , 564 , 893 , 761 , 847 ," 1,042 "," 1,300 ", 968 , 727 , 607 , 593 , 575 , 543 , 532 , 880 , 719 , 856 , 975 ," 1,778 "," 1,315 ", 768 , 677 , 617 , 761 , 675 , 697 ," 1,054 ", 915 ," 1,157 "," 1,240 "," 1,960 "," 1,479 ", 984 , 854 , 804 , 932 , 836 , 860 ," 1,346 "," 1,137 "," 1,412 ",,21%,-38%,-19%,-6%,8%,22%,14%,27%,48%,41%,34%,71%,11%,,105%,134%,93%,97%,77%,70%,59%,83%,94%,88%,43%,20%,78%,,-17%,24%,26%,19%,26%,10%,25%,7%,7%,28%,26%,36%,18%,,68%,27%,23%,19%,12%,23%,24%,7%,37%,31%,45%,26%,29%,51%,49%,,28%,22%,9%,38%,34%,26%,1%,16%,-6%,-1%,-6%,1%,12%,56%,44%,,-6%,37%,36%,6%,12%,4%,32%,24%,31%,20%,27%,35%,22%,54%,46%,,27%,10%,12%,28%,26%,30%,23%,24%,23%,28%,24%,22%,-100%,53%,47%,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,0.3,0.1,0.1, 736 ,0%,1.261334692,1.605705553,1.262013924,0.852436746,0.720665648,0.72134488,0.778400408,0.687383257,0.744438784,1.204279165,1.005264052,1.156732892
Cz,Nh_n,Cz-Nh_n, 448 , 810 , 654 , 318 , 312 , 268 , 294 , 302 , 258 , 317 , 311 , 350 , 479 , 641 , 523 , 373 , 279 , 334 , 345 , 346 , 336 , 512 , 421 , 567 , 747 ," 1,178 ", 839 , 567 , 547 , 499 , 507 , 545 , 520 , 747 , 594 , 708 , 671 ,1414," 1,074 ", 670 , 577 ,546,599,538,561,936,663,808, 853 ," 1,835 "," 1,288 ", 737 , 682 , 636 , 703 , 678 , 728 ," 1,121 ", 883 ," 1,074 "," 1,468 "," 2,658 "," 1,312 ", 917 , 903 , 821 , 787 , 820 , 770 ," 1,252 ", 949 ," 1,248 "," 1,208 "," 2,984 "," 2,125 "," 1,296 "," 1,039 ", 877 , 964 , 961 , 975 ," 1,512 "," 1,187 "," 1,583 "," 1,578 "," 3,462 "," 2,260 "," 1,404 "," 1,206 "," 1,061 "," 1,206 "," 1,193 "," 1,199 "," 1,894 "," 1,457 "," 1,898 ",,7%,-21%,-20%,17%,-11%,25%,17%,15%,30%,62%,35%,62%,11%,,56%,84%,60%,52%,96%,49%,47%,58%,55%,46%,41%,25%,55%,,-10%,20%,28%,18%,5%,9%,18%,-1%,8%,25%,12%,14%,13%,,27%,30%,20%,10%,18%,16%,17%,26%,30%,20%,33%,33%,24%,54%,46%,,72%,45%,2%,24%,32%,29%,12%,21%,6%,12%,7%,16%,24%,58%,42%,,-18%,12%,62%,41%,15%,7%,22%,17%,27%,21%,25%,27%,20%,57%,43%,,31%,16%,6%,8%,16%,21%,25%,24%,23%,25%,23%,20%,-100%,55%,45%,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,0.3,0.1,0.1," 1,047 ",0%,1.108625562,2.14608128,1.241889902,0.790033037,0.75707519,0.695935995,0.711698444,0.715519643,0.715519643,1.13346336,0.875054731,1.109103212
Cz,V˜ng,Cz-V˜ng, 55 , 80 , 72 , 45 , 34 , 33 , 32 , 38 , 24 , 54 , 55 , 61 , 62 , 53 , 64 , 40 , 29 , 37 , 49 , 46 , 40 , 82 , 52 , 89 , 112 , 110 , 95 , 70 , 70 , 53 , 81 , 82 , 92 , 121 , 90 , 146 , 120 ,195, 170 , 96 , 93 ,114,128,108,102,147,161,143, 216 , 214 , 189 , 154 , 126 , 118 , 157 , 134 , 171 , 251 , 217 , 223 , 299 , 263 , 265 , 207 , 171 , 160 , 167 , 160 , 171 , 237 , 228 , 286 , 269 , 463 , 368 , 233 , 190 , 188 , 212 , 188 , 214 , 314 , 304 , 343 , 360 , 474 , 408 , 275 , 232 , 235 , 280 , 249 , 273 , 393 , 383 , 416 ,,13%,-34%,-11%,-11%,-15%,12%,53%,21%,67%,52%,-5%,46%,10%,,81%,108%,48%,75%,141%,43%,65%,78%,130%,48%,73%,64%,74%,,7%,77%,79%,37%,33%,115%,58%,32%,11%,21%,79%,-2%,41%,,80%,10%,11%,60%,35%,4%,23%,24%,68%,71%,35%,56%,38%,47%,53%,,38%,23%,40%,34%,36%,36%,6%,19%,0%,-6%,5%,28%,20%,52%,48%,,-10%,76%,39%,13%,11%,18%,27%,18%,25%,32%,33%,20%,26%,52%,48%,,34%,2%,11%,18%,22%,25%,32%,32%,27%,25%,26%,21%,-100%,50%,50%,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,0.3,0.1,0.1, 199 ,0%,1.29180602,1.196488294,1.138795987,0.905518395,0.744983278,0.697324415,0.81270903,0.737458194,0.857859532,1.224080268,1.116220736,1.276755853
Cz 0.75 Total,Total,Cz 0.75 Total-Total," 1,418 "," 2,264 "," 1,923 "," 1,050 ", 920 , 868 ," 1,049 "," 1,004 ", 846 ," 1,165 "," 1,193 "," 1,290 "," 1,601 "," 1,658 "," 1,649 "," 1,123 ", 986 ," 1,056 "," 1,220 "," 1,084 "," 1,096 "," 1,590 "," 1,416 "," 1,882 "," 2,611 "," 3,306 "," 2,691 "," 1,845 "," 1,728 "," 1,547 "," 1,715 "," 1,879 "," 1,804 "," 2,381 "," 1,974 "," 2,352 "," 2,238 "," 4,018 "," 3,332 "," 2,116 "," 1,834 "," 1,774 "," 2,092 "," 1,837 "," 1,920 "," 3,059 "," 2,411 "," 2,834 "," 3,199 "," 5,037 "," 3,877 "," 2,444 "," 2,159 "," 2,059 "," 2,447 "," 2,133 "," 2,540 "," 3,934 "," 3,174 "," 3,663 "," 4,697 "," 6,609 "," 4,203 "," 3,226 "," 2,934 "," 2,798 "," 2,617 "," 2,654 "," 2,633 "," 4,170 "," 3,348 "," 4,269 "," 4,242 "," 8,589 "," 6,085 "," 3,864 "," 3,362 "," 2,937 "," 3,428 "," 3,196 "," 3,369 "," 4,974 "," 4,175 "," 5,406 "," 5,381 "," 9,707 "," 6,780 "," 4,530 "," 3,995 "," 3,597 "," 4,224 "," 3,959 "," 4,154 "," 6,269 "," 5,162 "," 6,526 ",,13%,-27%,-14%,7%,7%,22%,16%,8%,30%,36%,19%,46%,9%,,63%,99%,63%,64%,75%,46%,41%,73%,65%,50%,39%,25%,58%,,-14%,22%,24%,15%,6%,15%,22%,-2%,6%,28%,22%,20%,14%,,43%,25%,16%,16%,18%,16%,17%,16%,32%,29%,32%,29%,24%,51%,49%,,47%,31%,8%,32%,36%,36%,7%,24%,4%,6%,5%,17%,20%,55%,45%,,-10%,30%,45%,20%,15%,5%,31%,20%,28%,19%,25%,27%,21%,54%,46%,,27%,13%,11%,17%,19%,22%,23%,24%,23%,26%,24%,21%,-100%,53%,47%,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,0.3,0.1,0.1," 3,368 ",0%,1.172325052,1.729090369,1.19964367,0.84182916,0.756161536,0.721122439,0.751855884,0.710729486,0.768039196,1.203206968,0.96832624,1.177669999
